iter	Passed	Remaining
0	59800	1136205
1	168834	1519510
2	286170	1621635
3	374295	1497183
4	503800	1511401
5	571999	1334666
6	651326	1209606
7	774328	1161493
8	900977	1101194
9	955206	955206
10	1041135	851838
11	1150762	767175
12	1200264	646296
13	1369633	586985
